City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,pariaman,-0.619,100.12,77.05,89,86,2.35,ID,2023-10-06 12:53:24
240,charters towers,-20.1,146.2667,68.85,89,89,10.56,AU,2023-10-06 12:53:24
241,kidal,18.4411,1.4078,98.49,13,20,11.36,ML,2023-10-06 12:53:24
242,hailey,43.5196,-114.3153,57.88,68,0,11.5,US,2023-10-06 12:49:56
243,kone,-21.0595,164.8658,64.44,88,10,4.83,NC,2023-10-06 12:53:25
244,arkhangel'sk,64.5401,40.5433,38.12,81,89,5.75,RU,2023-10-06 12:53:25
245,bodo,67.28,14.405,36.95,96,75,3.44,NO,2023-10-06 12:53:25
246,kirakira,-10.4544,161.9205,77.54,88,90,8.93,SB,2023-10-06 12:53:25
247,san juan de miraflores,-12.1629,-76.9635,66.72,77,79,8.77,PE,2023-10-06 12:53:25
248,bamboo flat,11.7,92.7167,77.09,94,100,2.3,IN,2023-10-06 12:49:58
249,yaguajay,22.3272,-79.2378,84.99,71,3,1.72,CU,2023-10-06 12:53:26
250,mil'kovo,55.6078,37.7956,42.35,82,100,18.75,RU,2023-10-06 12:53:26
251,la passe,45.5549,-0.8967,77.23,43,0,6.44,FR,2023-10-06 12:49:20
252,st. john's,47.5649,-52.7093,59.27,93,100,4.61,CA,2023-10-06 12:52:48
253,mahina,-17.5065,-149.489,76.77,65,0,8.05,PF,2023-10-06 12:53:27
254,howrah,22.5892,88.3103,84.2,84,40,0.0,IN,2023-10-06 12:53:27
255,chonchi,-42.6128,-73.8092,51.01,50,53,6.2,CL,2023-10-06 12:53:27
256,enewetak,11.3474,162.3373,83.98,73,100,14.09,MH,2023-10-06 12:48:56
257,thompson,55.7435,-97.8558,41.16,87,75,4.61,CA,2023-10-06 12:53:27
258,ocean city,39.2776,-74.5746,78.82,78,74,6.38,US,2023-10-06 12:48:49
259,akrehamn,59.2667,5.1833,56.41,76,75,26.46,NO,2023-10-06 12:53:28
260,snyder,32.7179,-100.9176,73.99,60,0,0.0,US,2023-10-06 12:53:28
261,eldoret,0.5204,35.2699,68.09,56,75,5.75,KE,2023-10-06 12:53:28
262,nayoro,44.3506,142.4578,48.7,94,100,6.67,JP,2023-10-06 12:53:28
263,motygino,58.1831,94.7592,43.79,95,90,5.01,RU,2023-10-06 12:53:28
264,coyhaique,-45.5752,-72.0662,48.81,49,40,8.05,CL,2023-10-06 12:53:28
265,vorgashor,67.5833,63.95,41.18,89,99,14.27,RU,2023-10-06 12:51:51
266,sitka,57.0531,-135.33,55.29,88,100,8.05,US,2023-10-06 12:53:29
267,padang,-0.9492,100.3543,77.05,90,97,1.52,ID,2023-10-06 12:52:00
268,damghan,36.1683,54.348,62.22,32,0,1.81,IR,2023-10-06 12:53:29
269,tralee,52.2704,-9.7026,64.65,77,20,12.66,IE,2023-10-06 12:50:04
270,fengxiang,47.5833,130.8333,40.24,69,41,8.59,CN,2023-10-06 12:53:29
271,stanthorpe,-28.6667,151.95,49.42,88,25,12.37,AU,2023-10-06 12:53:30
272,raduzhny,62.0961,77.475,43.5,88,99,5.46,RU,2023-10-06 12:53:30
273,utrik,11.2278,169.8474,82.92,72,69,17.34,MH,2023-10-06 12:53:30
274,fort bragg,35.139,-79.006,78.04,94,75,8.05,US,2023-10-06 12:49:42
275,khatra,22.9833,86.85,78.6,85,56,2.84,IN,2023-10-06 12:53:30
276,kayangel,8.0823,134.7173,83.07,79,99,11.41,PW,2023-10-06 12:53:30
277,obo,5.3998,26.4869,76.05,82,55,2.73,CF,2023-10-06 12:53:31
278,farafangana,-22.8167,47.8333,71.33,69,0,10.69,MG,2023-10-06 12:53:31
279,inari,68.906,27.0288,32.2,69,69,5.08,FI,2023-10-06 12:50:31
280,novomyrhorod,48.7811,31.642,52.39,39,5,8.37,UA,2023-10-06 12:53:31
281,east london,-33.0153,27.9116,68.94,94,100,6.91,ZA,2023-10-06 12:53:31
282,kununurra,-15.7667,128.7333,87.78,22,67,13.8,AU,2023-10-06 12:48:39
283,yuzhno-kurilsk,44.0306,145.8556,52.38,87,98,26.87,RU,2023-10-06 12:53:32
284,ceeldheer,3.8488,47.1806,80.42,78,31,14.05,SO,2023-10-06 12:53:32
285,aasiaat,68.7098,-52.8699,36.32,87,100,12.59,GL,2023-10-06 12:53:32
286,kapa'a,22.0752,-159.319,78.78,94,100,4.61,US,2023-10-06 12:53:32
287,vila velha,-20.3297,-40.2925,85.95,72,40,16.11,BR,2023-10-06 12:53:33
288,baotou,40.6522,109.8222,53.87,63,66,5.26,CN,2023-10-06 12:53:33
289,brisas de zicatela,15.8369,-97.0419,86.65,69,55,5.82,MX,2023-10-06 12:53:33
290,waliso,8.5333,37.9833,58.01,61,13,6.44,ET,2023-10-06 12:49:56
291,san luis de la loma,17.2706,-100.8939,87.15,68,10,5.01,MX,2023-10-06 12:53:33
292,cromwell,41.5951,-72.6454,72.0,87,100,0.0,US,2023-10-06 12:49:38
293,port saint john's,-31.6229,29.5448,70.93,92,57,9.37,ZA,2023-10-06 12:53:33
294,brigantine,39.4101,-74.3646,78.21,85,72,3.0,US,2023-10-06 12:53:34
295,constantia,44.1833,28.65,65.08,49,94,9.48,RO,2023-10-06 12:51:11
296,vadso,70.0744,29.7487,35.76,87,40,14.97,NO,2023-10-06 12:53:34
297,katsuura,35.1333,140.3,68.02,47,100,13.62,JP,2023-10-06 12:53:34
298,lensk,60.7253,114.9278,40.71,96,100,7.0,RU,2023-10-06 12:53:34
299,marang,5.2056,103.2059,76.93,87,30,6.49,MY,2023-10-06 12:53:34
